1	2	3	4	5	6	7	8	9	EBO	Cost

0	0	0	0	0	0	0	0	0	4.379	0
0	0	0	0	1	0	0	0	0	4.158	10
0	0	0	1	0	0	0	0	0	4.154	15
0	1	0	0	0	0	0	0	0	4.135	19
0	0	0	0	2	0	0	0	0	4.131	20
1	0	0	0	1	0	0	0	0	3.977	24
0	0	1	0	0	0	0	0	0	3.912	25
0	1	0	1	0	0	0	0	0	3.910	34
0	0	1	0	1	0	0	0	0	3.690	35
0	0	1	1	0	0	0	0	0	3.687	40
0	1	1	0	0	0	0	0	0	3.667	44
0	0	1	0	2	0	0	0	0	3.664	45
1	0	1	0	1	0	0	0	0	3.509	49
0	0	1	1	1	0	0	0	0	3.465	50
0	1	1	0	1	0	0	0	0	3.446	54
0	1	1	1	0	0	0	0	0	3.442	59
0	0	1	1	2	0	0	0	0	3.439	60
1	0	1	1	1	0	0	0	0	3.284	64
1	1	1	0	1	0	0	0	0	3.265	68
0	1	1	1	1	0	0	0	0	3.221	69
0	1	1	1	2	0	0	0	0	3.195	79
0	0	1	0	1	1	0	0	0	3.112	80
1	1	1	1	1	0	0	0	0	3.040	83
1	1	1	1	2	0	0	0	0	3.013	93
1	0	1	0	1	1	0	0	0	2.931	94
0	0	1	1	1	1	0	0	0	2.887	95
0	1	1	0	1	1	0	0	0	2.868	99
0	1	1	1	0	1	0	0	0	2.864	104
0	0	1	1	2	1	0	0	0	2.860	105
1	0	1	1	1	1	0	0	0	2.706	109
1	1	1	0	1	1	0	0	0	2.686	113
0	1	1	1	1	1	0	0	0	2.643	114
0	1	1	1	2	1	0	0	0	2.616	124
1	1	1	1	1	1	0	0	0	2.461	128
1	1	1	1	2	1	0	0	0	2.435	138
1	1	1	2	1	1	0	0	0	2.434	143
0	1	1	1	1	1	0	1	0	2.398	147
1	1	2	1	1	1	0	0	0	2.329	153
1	1	1	1	1	1	0	0	1	2.297	158
1	1	1	1	1	1	0	1	0	2.217	161
1	1	1	1	2	1	0	1	0	2.191	171
1	0	1	0	1	1	1	0	0	2.168	174
0	0	1	1	1	1	1	0	0	2.124	175
0	1	1	0	1	1	1	0	0	2.105	179
0	1	1	1	0	1	1	0	0	2.101	184
0	0	1	1	2	1	1	0	0	2.097	185
1	1	2	1	1	1	0	1	0	2.085	186
1	0	1	1	1	1	1	0	0	1.942	189
1	1	1	0	1	1	1	0	0	1.923	193
0	1	1	1	1	1	1	0	0	1.879	194
0	1	1	1	2	1	1	0	0	1.853	204
1	1	1	1	1	1	1	0	0	1.698	208
1	1	1	1	2	1	1	0	0	1.672	218
1	1	1	2	1	1	1	0	0	1.671	223
0	1	1	1	1	1	1	1	0	1.635	227
1	1	2	1	1	1	1	0	0	1.566	233
1	1	1	1	1	1	1	0	1	1.533	238
1	1	1	1	1	1	1	1	0	1.454	241
1	1	1	1	2	1	1	1	0	1.428	251
1	1	1	2	1	1	1	1	0	1.427	256
1	2	1	1	1	1	1	1	0	1.421	260
1	1	2	1	1	1	1	0	1	1.402	263
1	1	2	1	1	1	1	1	0	1.322	266
1	1	1	1	1	1	1	1	1	1.289	271
1	1	1	1	2	1	1	1	1	1.263	281
1	1	1	1	1	2	1	1	0	1.240	286
1	1	2	1	1	1	1	1	1	1.157	296
1	1	2	1	2	1	1	1	1	1.131	306
1	1	2	1	1	2	1	1	0	1.108	311
1	1	1	1	1	2	1	1	1	1.075	316
1	1	1	1	1	1	2	1	0	1.032	321
1	1	1	1	2	1	2	1	0	1.006	331
1	1	1	2	1	1	2	1	0	1.005	336
1	2	1	1	1	1	2	1	0	1.000	340
1	1	2	1	1	2	1	1	1	0.943	341
1	1	2	1	1	1	2	1	0	0.900	346
1	1	1	1	1	1	2	1	1	0.867	351
1	1	1	1	2	1	2	1	1	0.841	361
1	1	1	1	1	2	2	1	0	0.818	366
1	1	2	1	1	1	2	1	1	0.736	376
1	1	2	1	2	1	2	1	1	0.709	386
1	1	2	1	1	2	2	1	0	0.686	391
1	1	1	1	1	2	2	1	1	0.653	396
1	1	1	1	2	2	2	1	1	0.627	406
1	1	1	2	1	2	2	1	1	0.626	411
1	2	1	1	1	2	2	1	1	0.620	415
2	1	1	1	2	2	2	1	1	0.609	420
1	1	2	1	1	2	2	1	1	0.521	421
1	1	2	1	2	2	2	1	1	0.495	431
1	1	2	2	1	2	2	1	1	0.494	436
1	2	2	1	1	2	2	1	1	0.489	440
2	1	2	1	2	2	2	1	1	0.477	445
1	1	2	2	2	2	2	1	1	0.467	446
1	2	2	1	2	2	2	1	1	0.462	450
1	2	2	2	1	2	2	1	1	0.461	455
2	1	2	2	2	2	2	1	1	0.450	460
2	2	2	1	2	2	2	1	1	0.445	464
1	2	2	2	2	2	2	1	1	0.435	465
1	2	2	2	3	2	2	1	1	0.432	475
2	2	2	2	2	2	2	1	1	0.417	479
2	2	2	2	3	2	2	1	1	0.415	489
1	2	3	2	2	2	2	1	1	0.408	490
1	2	2	1	2	3	2	1	1	0.405	495
1	2	2	2	2	2	2	2	1	0.402	498
