1	2	3	4	5	6	7	8	9	EBO	Cost

0	0	0	0	0	0	0	0	0	4.379	0
0	0	0	0	1	0	0	0	0	4.158	10
0	0	1	0	1	0	0	0	0	3.690	35
0	0	1	1	1	0	0	0	0	3.465	50
1	0	1	1	1	0	0	0	0	3.284	64
1	0	1	1	1	1	0	0	0	2.706	109
1	1	1	1	1	1	0	0	0	2.461	128
1	1	1	1	1	1	1	0	0	1.698	208
1	1	1	1	1	1	1	1	0	1.454	241
1	1	1	1	1	1	1	1	1	1.289	271
1	1	2	1	1	1	1	1	1	1.157	296
1	1	2	1	1	1	2	1	1	0.736	376
1	1	2	1	1	2	2	1	1	0.521	421
1	1	2	1	2	2	2	1	1	0.495	431
1	1	2	2	2	2	2	1	1	0.467	446
1	2	2	2	2	2	2	1	1	0.435	465
2	2	2	2	2	2	2	1	1	0.417	479
2	2	2	2	3	2	2	1	1	0.415	489
2	2	2	2	4	2	2	1	1	0.415	499
